username,name,gender,age,location,bio,picture,class
artisanalways,Riya,Female,27,"North Hempstead, NY",artisan mugs and artisan hugs,image-12.png,
Jcole9,jcole,Male,48,Charlotte,Sharing Momma's Carolina BBQ with the world.,image-120.png,
_aikira_,Aikira Walker,Female,21,,"~~friends, food & sunshine~~",image-13.png,
fusionfeast,Max Cho,Male,23,NJ,"Korean-Mexican fusion, inside and out.",image-14.png,
lee.alexa,Alexa Lee,Female,25,"Plano, TX","blogger, dreamer, traveller, chef",image-15.png,
ria_camiii,Valeria Camilo,Female,28,"Wichita, KA",a smile is never the wrong decision,image-18.png,
caffeinated,Tiana Brown,Female,34,,still trying to make the perfect #cappucino,image-23.png,
earthpulse,Sophia P.,Female,27,"Jersey City, NJ",**food**photos**earth-friendly fashion**,image-29.png,
casssssssssie,Cassie Reed,Female,24,"White Plains, NY",Adulting is hard so I'm taking pics to prove to myself that I can do it!,image-31.png,
breethebaker,Breanne Carman-Hines,Female,27,"Salt Lake City, UT","sweet baking, savory baking... if the oven's on, I'm in.",image-41.png,
kittycatbakes,KittyCatBakes,Female,29,,"beginning traveller, amateur knitter, intermediate baker",image-45.png,
jupiterpride,Jamie Taggart,Male,26,"Jupiter, FL","eating whatever and having a blast in Jupiter, FL!",image-51.png,
breathe_in,Aimee Lin,Female,23,"Atlanta, GA",meditation & clean eating (& the occasional martini) make the world go round,image-7.png,
jackrussellmom,Karen Laretti,Female,33,"Chula Vista, CA",love my jack russels 🐕🐕,image-8.jpg,
lavenderrrrrr,Sofia,Female,38,"Maui, HI",semi-pro food photographer 📸,image-9.png,
tastyrobot,TastyHae,Female,24,"Pittsburgh, PA","i'd say that fast food is my guilty pleasure, but I don't actually feel guilty about it.",image-80.png,
wiz_khaleesi,Wiz Khaleesi,Female,25,,👽,image-89.png,
Ataylor,Ataylor,Male,42,"Arlington, VA",Sending prayers & blessings for your life journey.,image-92.png,
cavsforever,Hiran,Male,37,"Cleveland, OH",#1 CAVS FAN,image-94.png,
jake_turk,Jake T.,Male,30,NY,insert witty bio here,jaket.jpeg,
localewis,Remy Lewis,Male,25,"Lincoln, NE",The coolest locavore bartender in the West.,male-33.jpg,
tacoguy,Santiago Coros,Male,28,your moms house,real life: grad student in physics. dream life: taco truck owner,male-78.jpg,
john73,John,Male,31,"Seattle, WA","I love my kids, my wife, and my '73 mustang.",men10.jpg,
gwenfromtheblock,GwenfromtheBlock,Female,28,Nashville,Traveller ✈️🌍,person 2.jpeg,
sweetpea,Anna,Female,25,"San Francisco, CA",the best thing in life is seeing my mom's face when I cook for *her* for a change,women81.jpg,
generic-joe,Joe G.,Male,25,"Ithaca, NY",I'm generic!,,
avilorestaurant,Avilo Restaurant,Restaurant,,"Madison, Wisconsin ",Comfortable lounge featuring open-air style dining that overlooks the Wisconsin Institute for Discovery on UW-Madison campus.,American/avilo.png,American
ki&ko,Ki&Ko,Farm,,"Bakersfield, California","Pasture raised poultry, eggs, pork, and vegetables in the heart of California ",American/kiko.png,American
fast&fabulous,Fast & Fabulous,Restaurant,,"Durham, North Carolina",Fast food restaurant,American/fast.png,American
mamalova,Mama Lova,Restaurant,,"Modesto, California","⬇️ORDER ONLINE⬇️
11-9 Tues-Sat 
11-8 Sunday",American/mama.png,American
eatvery,Eatvery,Restaurant,,"Pittsburgh, Pennsylvania","The Best Of Pittsburgh. Award Winning Breakfast, Lunch, Sunday Brunch and Dinner. Continental American Food In A Beautiful Setting. A PS Tradition.",American/eatvery.png,American
chezjin,Chez Jin,Restaurant,,"Oklahoma City, Oklahoma","✔️Open Monday-Thursday 5-10pm
❌Closed Friday & Weekend 4-10pm
🚙💨 DELIVERY VIA UBEREATS",American/jin.png,American
planbburgers,Plan B Burgers,Restaurant,,"Colorado Springs, Colorado","Happy Hour 3-6PM
Trains & Pikes Peak views
One Block West of the Antler's Hotel
Full liquor Bar
Free parking",American/planb.png,American
fatbabycoffee,Fat Baby Coffee,Coffee Shop,,"Garland, Texas","Escape reality, experience Fiction ☕️
Shops located across Garland, Houston, & Raleigh",American/fatbaby.png,American
catbirdseatrestaurant,Catbird Seat Restaurant,Restaurant,,"Aurora, Colorado","The finest service, highest quality foods & freshest ingredients in world class restaurants.",American/catbird.png,American
nicecreamshop,Nicecream Shop,Ice Cream Shop,,"Scottsdale, Arizona","🌵Voted Best Ice Cream of Scottsdale
🍫 Special Hrs: First & Last weekend of the month: 11am-6pm
🍦 Reg Hrs: Tues-Sat: 12pm-6pm",American/nicecream.png,American
akimirestaurant,Akimi Restaurant,Restaurant,,"Plano, Texas","The place you feel like you are almost in Japan. Please open your mind eyes and mouth, enjoy the cultural experience during your visit. Since 1998.",Asian/akimi.png,Asian
xi&ko,Xi&Ko,Restaurant,,"Hialeah, Florida","Korean Restaurant
Sunday 12pm ~ 8pm
Monday to Thursday 11am ~ 9pm
Friday 11am ~ 10pm
Saturday 12pm ~ 10pm",Asian/xiko.png,Asian
dimsumpalace,DimSum Palace,Restaurant,,"Kansas City, Missouri","🥢🇨🇳 Est 1981
🎋 Family-Owned
📍 5 locations
🥟 Dim Sum (2 locations)
🥡 Catering Available
🍸 Happy Hour
📲 Wok Talk News",Asian/dimsum.png,Asian
chezou,Chezou,Restaurant,,"Phoenix, Arizona","Central Phoenix
2356 N. Central Boulevard STE 100",Asian/chezou.png,Asian
pho11,Pho 11,Restaurant,,"Lincoln, Nebraska",Pho 11 provides a new and exciting alternative to your typical Asian and Vietnamese restaurants and takeaway providing an amazing food.,Asian/pho.png,Asian
matalova,Mata Lova,Restaurant,,"Milwaukee, Wisconsin","A modern twist on traditional Indian cuisine
📍Milwaukee’s Historic Third Ward
Voted Best New Restaurant in MKE for 2022",Asian/mata.png,Asian
cashmeer,Cashmeer,Restaurant,,"Stockton, California",Amur Kwali Bachar,Asian/cashmeer.png,Asian
expressthai,Express Thai,Restaurant,,"St. Louis, Missouri","Rustic family recipes straight from the Northeastern and Southern regions of Thailand.
Dine-In/Curbside/Patio • 4-10pm",Asian/express.png,Asian
spicetable,Spice Table,Restaurant,,"Los Angeles, California","South Indian vegetarian restaurant in Milpitas, CA. #dosa #thalimeals #idli #vada #bisibelebath #filtercoffee #uthappam",Asian/spice.png,Asian
lotus&co,Lotus & Co,Restaurant,,"Montgomery, Alabama",Korean Restaurant,Asian/lotus.png,Asian
isabellarestaurant,Isabella Restaurant,Restaurant,,"Albuquerque, New Mexico","Restaurante familiar 👨‍👩‍👧‍👦
Nos gusta el buen comer, mimamos nuestra cocina tradicional, carnes a la brasa y pescados del día.",Mexican/isabella.png,Mexican
concoabar,Con Coa Bar,Bar ,,"Long Beach, California",Event Bookings available. Tag us in your pics 📸,Mexican/concoa.png,Mexican
taqueriajose,Taqueria Jose,Restaurant,,"Cleveland, Ohio","Authentic tacos (incl Birria) y margaritas. 
5 locations in Ohio: Coventry, Van Aken District, Lakewood, Chesterland & Cleveland!",Mexican/jose.png,Mexican
comecome,Come Come,Restaurant,,"Seattle, Washington",El sabor de jalisco en Seattle,Mexican/come.png,Mexican
floreriaatlantico,Floreria Atlantico,Restaurant,,"San Diego, California",Restaurante Familiar,Mexican/floreria.png,Mexican
mamaquerida,Mama Querida,Restaurant,,"San Jose, California","Best Comida Mexicana Straight Outta Michoacán
🍽 Birria, Molcajetes, Micheladas, y más!
🕰 M-F 10am to 9pm, Sat./Sun. 8am to 9pm
📍 South San José, CA",Mexican/querida.png,Mexican
talktilla,Talktilla,Fast Food,,"North Hempstead, New York","Female Owned and Operated on the UWS
🥑Mon-Thu Noon-12am
🌶Fri & Sat 11am-2am
🌮Sun 11am-12am",Mexican/talktilla.png,Mexican
casamaya,Casa Maya,Restaurant,,"Arlington, Virginia",Casa Maya,Mexican/casa.png,Mexican
sevillekitchen,Seville Kitchen,Restaurant,,"Philadelphia, Pennsylvania","Spanish tapas in the heart of Philadelphia
🌮🌮🌮",Mexican/seville.png,Mexican
camerana,Camarena,Food Truck,,"Minneapolis, Minnesota","Award Winning Family Biz. Mexican Latino Mercado, artesania, restaurant, bar, deli, bakery, catering, food truck. Est. 1979, #laexperienciamexicana",Mexican/camarena.png,Mexican
siciliandelight,Sicilian Delight,Restaurant,,"Santa Ana, California","Executive Chef: @cheffranciscodelaverra
Small Bites Tuesdays 4-9pm
Hospitality Night Wednesdays
Tequila Thursdays 4-9 pm
Social Hour Daily 3-6 pm",Italian/sicilian.png,Italian
pronto,Pronto,Restaurant,,"Tampa, Florida","Fast. Fresh. Italian. Best Raviolis.  200+ locations. 🍅 Endless pastabilities.🍝
👉 Dine-in, drive-thru, or order on our Rewards app.",Italian/pronto.png,Italian
ristomolto,Risto Molto,Restaurant,,"Fort Wayne, Indiana","The italian connection
Tues - Sat 9.30am -4pm and Wed - Sat 7pm onwards 
Fresh homemade food served😋",Italian/risto.png,Italian
madreamor,Madre Amor,Restaurant,,"Chula Vista, California","Home of the last slice🍕
We are a great family restaurant in Chula Vista, California",Italian/madre.png,Italian
venicerestaurant,Venice Restaurant,Restaurant,,"Huntington, New York","Family owned Italian restaurant with a passion for authentic, freshly prepared Italian cuisine. Come and experience Italian hospitality at its finest.",Italian/venice.png,Italian
gallarice,Galla Rice,Brand,,"Birmingham, Alabama","Most authentic Risotto Brand, available at Walmart and Costco.",Italian/galla.png,Italian
instaly,Instaly,Restaurant,,"Denver, Colorado","Serving up fresh, fast Italian meals in the heart of North Denver since 1961.",Italian/instaly.png,Italian
capriceria,Capriceria,Ice Cream Shop,,"Jacksonville, Florida","Est. 1996
The COOLEST place for Italian Ice, Soft Ice Cream & Gelati
#LiveLifeToTheCoolest",Italian/capriceria.png,Italian
bellaitalia,Bella Italia,Restaurant,,"Toledo, Ohio",We are bringing people together by providing delicious cuisine and top-level service in a cozy setting.,Italian/bella.png,Italian
visititaly,Visit Italy,Official Roma Guide,,"Roma, Italy ","Explore Italy like a local. From iconic attractions to amazing experiences, your journey begins at Roma.",Italian/italy.png,Italian
gumborestaurant,Gumbo Restaurant,Restaurant,,"St. Petersburg, Florida","Enjoy specialty menu items, King Cake, cocktails and more! 💜💛💚",Cajun/gumbo.png,Cajun
houseofcreole,House of Creole,Restaurant,,"Baltimore, Maryland","Cajun Seafood Restaurant & Bar
🍹🦀",Cajun/creole.png,Cajun
visitnola,Visit Nola,Promoting Nola,,"New Orleans, Louisiana",New Orleans Louisiana Visitors Guide,Cajun/nola.png,Cajun
mamaamour,Mama Amour,Restaurant,,"Indianapolis, Indiana","IN’s 1st AUTHENTIC Louisiana Cajun/Creole food truck, founded by LOUISIANA NATIVES serving all the Louisiana Classics!",Cajun/mamares.png,Cajun
janescajunhouse,Jane's Cajun House,Restaurant,,"Rochester, New York","Sunday-Thursday 11:00am-9:30pm
Friday-Saturday 11:00am-10:00pm
Bar Happy Hour🍷🍺
Monday-Friday 4:00pm-7:00pm",Cajun/jane.png,Cajun
thecrawfishpalace,The Crawfish Palace,Restaurant,,"Fort Worth, Texas",The Seafood Boil Specialists,Cajun/crawfish.png,Cajun
charlespastry,Charle's Pastry,Pastry Shop ,,"Hialeah, Florida",For every occasion: the most selected French bakery and pastry shop in Miami.,Cajun/charles.png,Cajun
bayoucoffee,Bayou Coffee,Coffee Shop,,"Jersey City, New Jersey","A New Orleans Kitchen in Jersey City 
Now Open!!!",Cajun/bayou.png,Cajun
aloysterbar,Al Oyster Bar,Restaurant,,"New Orleans, Louisiana","French Quarter | Lakefront | Mandeville | Gulfport
🦪🦐🐟🦀
The world is your oyster, and oysters are our world",Cajun/al.png,Cajun
creoleeatery,Creole Eatery,Snack Bar ,,"Atlanta, Georgia","Where NOLA Meets Haiti! 🇭🇹⚜️
Located in Atlanta
Order Online 
Catering Now Available 🍽️",Cajun/eatery.png,Cajun
